hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1434020015,1445207854,false,0,0,0,0
1101150011,1445207400,false,0,0,26,0
1131050515,1445207943,false,1,0,0,0
1317050017,1445208004,false,0,0,55,1
1101020018,1445209200,false,0,0,0,0
0439010518,1445205904,false,0,0,10,0
0602030026,1445207701,true,0,19,57,1
0601160016,,false,0,0,16,2
1142120001,1445208002,false,0,0,30,0
1317040011,1445208002,false,1,0,5,0
1145010010,1445207340,false,0,0,11,1
1536030075,1445208000,false,0,0,0,0
1301200010,1445207940,false,1,0,10,1
0401180014,1445205904,false,1,0,88,2
1131010011,1445208000,false,1,29,32,2
0936060016,1445208000,false,1,0,0,0
0936050029,1445208000,false,0,0,2,0
0943030019,1445207940,false,2,0,1,0
1122010012,1445207883,false,2,0,16,1
0501110514,,false,0,0,2,3
1137010024,1445207998,false,0,0,31,0
0617060018,1445208003,false,0,0,46,0
1331040513,1445208002,false,0,0,8,0
1111060015,1445208002,false,0,0,10,0
0421040011,1445208004,false,1,0,34,1
1142100017,1445208003,true,1,59,92,6
1132070011,1445208002,false,1,0,121,0
1140010510,1445208003,false,0,0,11,0
1302050014,1445207994,true,0,0,0,0
1141310019,,false,1,0,11,2
1105050012,,false,0,0,8,0
1141090512,,false,0,0,9,0
0937010019,1445208006,false,0,0,5,0
