hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1438053602,false,1,0,67,4
1434020015,1438053573,false,0,0,2,0
1101020018,1438054200,false,0,0,11,0
1131050515,1438053548,false,2,0,4,0
0936060016,1438053600,false,2,0,1,0
1145010010,1438051680,false,1,0,25,1
1101150011,1438053000,true,1,5,37,2
0401180014,1438052703,true,3,10,88,1
0439010518,1438052703,false,0,0,17,0
1131010011,1438053600,true,2,29,52,3
1301200010,1438053540,false,8,0,32,0
0602030026,1438053300,true,1,24,69,3
0601160016,,true,4,0,25,0
1317040011,1438053608,false,0,0,11,1
0936050029,1438053600,false,0,0,2,0
1536030075,1438053600,false,1,0,0,0
1331040513,1438053607,false,2,20,24,1
1302050014,1438053602,true,4,11,77,2
0501110514,,false,1,0,4,0
0617060018,1438053609,true,2,5,51,0
1122010012,1438053575,false,2,0,24,3
0943030019,1438053600,true,1,0,3,0
1111060015,1438053608,false,1,0,14,0
0421040011,1438053609,true,1,20,48,2
1132070011,1438053608,false,7,0,152,2
1137010024,1438053603,false,0,0,37,1
1142100017,1438053609,false,2,0,113,1
1140010510,1438053608,false,1,0,22,0
0937010019,1438053611,false,0,0,18,0
1142120001,1438053613,false,3,0,53,0
1141090512,,false,0,0,3,0
1141310019,,false,3,0,51,0
1105050012,,false,0,0,1,0
1101100011,1438053720,false,6,0,33,0
