hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1431052802,false,4,0,63,5
1101020018,1431054000,false,1,0,14,3
0601160016,,true,10,0,34,1
1131050515,1431052751,false,2,0,2,0
0936060016,1431052779,false,0,0,3,0
1434020015,1431052696,false,1,0,6,0
1145010010,1431051540,false,0,0,22,0
1101150011,1431052200,false,1,0,23,0
1122010012,1431052778,null,4,0,20,1
1317040011,1431052802,false,0,0,12,0
0617060018,1431052802,false,1,0,47,2
1302050014,1431052789,false,2,0,53,0
1137010024,1431052793,false,0,0,36,0
0401180014,1431050717,false,5,10,100,6
0501110514,,false,2,0,9,0
1131010011,1431052800,false,1,24,51,2
1301200010,1431052740,false,2,0,23,0
1331040513,1431052802,false,6,23,24,1
0421040011,1431052803,false,8,0,28,0
1142120001,1431052803,false,6,0,59,0
0439010518,1431050720,false,1,0,17,0
0936050029,1431052800,false,1,0,5,0
1536030075,1431052800,false,0,0,1,0
0602030026,1431052500,true,0,9,45,1
1132070011,1431052802,false,11,0,143,5
1111060015,1431052802,false,1,0,33,0
0943030019,1431052800,false,1,0,7,0
0937010019,1431052803,false,0,0,14,0
1142100017,1431052802,true,0,122,99,5
1140010510,1431052802,true,1,0,6,0
1105050012,,false,1,0,0,0
1141310019,,false,4,0,60,1
1141090512,,false,0,0,13,0
1101100011,1431052920,false,2,11,27,0
