hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1101150011,1440685800,false,2,0,31,1
1131050515,1440686342,false,3,0,0,0
1317050017,1440686402,false,0,0,0,0
0439010518,1440684303,false,1,0,11,0
1434020015,1440686250,false,0,0,0,1
0601160016,,false,2,0,13,0
1142120001,1440686402,false,1,0,38,0
1101020018,1440687600,false,1,0,6,0
0401180014,1440684303,false,2,0,62,1
1317040011,1440686402,false,4,0,8,0
1302050014,1440686378,false,0,0,34,1
0936060016,1440686400,false,2,0,0,0
1145010010,1440685140,false,0,0,8,0
0602030026,1440686100,false,1,0,31,0
1122010012,1440686318,false,8,0,21,2
1301200010,1440686340,false,1,0,6,1
1131010011,1440686400,false,6,26,50,1
1137010024,1440686393,false,0,0,14,0
1331040513,1440686402,false,4,0,6,0
0617060018,1440686403,false,3,0,25,1
0936050029,1440686400,false,2,0,0,0
1536030075,1440686400,false,0,0,2,0
0943030019,1440686400,true,2,0,0,0
1111060015,1440686402,false,1,0,4,0
1132070011,1440686402,false,3,0,64,1
0501110514,,false,2,0,3,0
1140010510,1440686402,false,2,0,12,0
1142100017,1440686402,false,1,0,65,6
0421040011,1440686410,false,6,0,21,0
1141310019,,false,4,0,30,0
1141090512,,false,1,0,11,0
1105050012,,false,1,0,1,0
0937010019,1440686436,false,0,0,7,0
1101100011,1440686520,false,4,0,21,0
