hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1431022801,false,0,0,58,3
1131050515,1431022747,false,2,0,4,0
1101020018,1431023400,false,0,0,11,2
0439010518,1431021908,false,0,0,15,0
0601160016,,false,1,0,24,0
1101150011,1431022200,true,0,3,25,0
1142120001,1431022802,false,0,0,51,0
1317040011,1431022802,false,3,0,6,0
0401180014,1431021908,true,1,7,92,6
1145010010,1431020940,false,0,0,26,0
1122010012,1431022753,false,2,0,15,0
0936050029,1431022800,false,1,0,4,0
1536030075,1431022800,false,1,0,0,0
1131010011,1431022800,false,1,25,58,3
1137010024,1431022792,false,0,0,28,0
1434020015,1431022636,false,0,0,6,0
1301200010,1431022740,false,0,0,27,0
0617060018,1431022802,false,0,0,50,4
1331040513,1431022801,false,1,0,24,1
0943030019,1431022800,false,0,0,3,0
0421040011,1431022802,true,3,0,25,1
0501110514,,false,1,0,3,0
0936060016,1431022533,false,1,0,2,0
1132070011,1431022801,true,0,16,145,6
1111060015,1431022801,false,0,0,31,1
1142100017,1431022801,true,1,96,101,6
0602030026,1431022500,false,0,0,41,1
1140010510,1431022801,true,1,0,5,0
1302050014,1431022788,false,1,2,52,2
0937010019,1431022804,false,0,0,12,0
1105050012,,false,0,0,0,0
1141310019,,false,2,0,53,0
1141090512,,false,0,0,13,0
1101100011,1431022980,false,4,9,24,0
