hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1428046802,false,2,0,32,3
0617060018,1428046803,false,3,0,29,1
1101020018,1428048000,false,1,0,5,3
0601160016,,false,5,0,11,0
0936060016,1428046783,false,0,0,1,0
1434020015,1428046699,false,0,0,0,0
1145010010,1428045540,false,1,0,3,0
1122010012,1428046781,false,5,0,18,3
1131050515,1428046752,false,1,0,2,0
1101150011,1428046200,false,2,0,16,0
1142120001,1428046804,false,3,0,9,0
1302050014,1428046785,false,2,0,13,1
1317040011,1428046804,false,0,0,9,0
0943030019,1428046800,false,2,0,2,1
1331040513,1428046803,true,3,1,12,0
1137010024,1428046793,false,0,0,25,2
0421040011,1428046804,false,3,0,17,5
0501110514,,false,0,0,7,1
1131010011,1428046800,true,6,34,61,0
0936050029,1428046800,false,0,0,4,0
1536030075,1428046800,false,1,0,2,0
0602030026,1428046500,false,1,0,33,0
0937010019,1428046805,false,0,0,3,0
0401180014,1428044708,false,4,0,58,2
0439010518,1428044709,false,0,0,14,0
1111060015,1428046807,false,2,0,24,0
1140010510,1428046807,false,1,0,3,0
1142100017,1428046807,false,1,0,95,2
1132070011,1428046808,true,1,60,77,7
1141310019,,false,0,0,27,1
1105050012,,false,0,0,1,0
1141090512,,false,5,0,3,0
1101100011,1428046860,false,2,38,47,0
