hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1436335202,false,2,0,40,3
0601160016,,false,1,0,24,1
1434020015,1436335113,false,0,0,2,0
1145010010,1436333940,false,0,0,21,0
0936060016,1435961720,false,2,0,0,0
1101020018,1436335200,false,1,0,16,4
0617060018,1436335203,true,0,12,51,5
1131010011,1436335200,false,1,29,54,0
1331040513,1436335202,false,3,7,25,2
1142120001,1436335203,false,3,0,62,0
1131050515,1436335147,false,0,0,1,1
1101150011,1436334600,true,3,5,24,0
1302050014,1436335190,true,0,34,88,3
1301200010,1436335140,false,4,0,27,2
0401180014,1436331903,false,4,0,55,1
1137010024,1436335197,false,0,0,34,0
0439010518,1436331903,false,0,0,9,0
0501110514,,false,3,0,9,0
0421040011,1436335204,false,5,0,28,2
1536030075,1436335200,false,1,0,9,0
0936050029,1436335200,false,0,0,1,0
1132070011,1436335203,false,4,0,95,1
1140010510,1436335203,false,0,0,22,0
0602030026,1436334900,true,4,37,60,2
1111060015,1436335202,false,0,0,22,0
1142100017,1436335203,false,1,0,121,4
0943030019,1436335200,true,0,0,6,0
0937010019,1436335206,false,0,0,8,0
1141090512,,true,4,6,18,0
1141310019,,false,3,0,58,2
1105050012,,false,0,0,5,0
1122010012,1436335092,false,4,0,25,3
1317040011,1436335211,false,3,0,10,1
1131100010,1436335200,false,1,0,36,0
1101100011,1436335320,false,1,0,30,0
