hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1440824401,false,0,0,0,0
1131050515,1440824345,false,3,0,1,0
1101150011,1440823800,false,3,0,27,1
0602030026,1440824100,false,2,0,21,0
1101020018,1440824400,false,0,0,10,3
1434020015,1440824312,false,2,0,2,0
0601160016,,false,4,0,19,2
1317040011,1440824402,false,2,0,11,0
1145010010,1440823140,false,0,0,8,0
1142120001,1440824402,false,7,0,26,0
0936060016,1440824400,false,3,0,1,2
1122010012,1440824380,false,0,0,15,4
0617060018,1440824402,false,1,0,26,1
0401180014,1440821103,false,1,0,71,1
0501110514,,false,0,0,9,0
1536030075,1440824400,false,1,0,2,0
1301200010,1440824340,false,1,0,6,0
1137010024,1440824401,false,0,0,3,0
1331040513,1440824402,false,5,0,2,0
0943030019,1440824400,true,2,0,1,0
0439010518,1440821103,false,0,0,12,0
1302050014,1440824381,false,2,0,17,0
0936050029,1440824400,false,1,0,1,0
0937010019,1440824404,false,0,0,7,0
1111060015,1440824402,false,0,0,4,0
1140010510,1440824402,false,0,0,5,1
1132070011,1440824402,false,5,0,55,0
1131010011,1440824400,false,6,22,43,0
1142100017,1440824402,false,1,0,38,7
0421040011,1440824409,false,2,0,15,0
1141310019,,false,12,0,36,2
1105050012,,false,0,0,0,0
1141090512,,false,2,0,13,0
1101100011,1440824520,false,5,0,35,0
