hospital_sn,update_time,full_reported,pending_doctor,pending_bed,pending_ward,pending_icu
1317050017,1438629602,false,0,0,0,0
1111060015,1438629603,false,0,0,18,1
0601160016,,false,2,0,15,0
1101020018,1438630200,false,0,0,4,0
0936060016,1438629600,false,2,0,0,0
1101150011,1438629000,true,1,6,33,0
1145010010,1438627740,false,1,0,15,0
1131050515,1438629604,false,1,0,3,0
0401180014,1438628703,false,0,10,93,2
1301200010,1438629540,false,1,0,26,1
0439010518,1438628703,false,0,0,17,0
1131010011,1438629600,true,4,27,51,0
1142120001,1438629608,false,3,0,54,0
0602030026,1438629300,false,0,0,38,0
1434020015,1438629597,false,1,0,5,0
1317040011,1438629608,false,0,0,7,0
1137010024,1438629602,false,0,0,30,0
1331040513,1438629607,false,3,0,17,0
0936050029,1438629600,false,0,0,6,0
1536030075,1438629600,false,0,0,4,0
0617060018,1438629609,false,0,0,44,5
0421040011,1438629609,false,2,4,44,1
0501110514,,false,1,0,3,0
0943030019,1438629600,true,0,0,6,0
0937010019,1438629609,false,0,0,14,0
1302050014,1438629602,true,2,12,85,0
1122010012,1438629348,false,0,0,16,0
1132070011,1438629608,true,2,8,173,4
1142100017,1438629609,false,0,0,93,2
1140010510,1438629608,false,0,0,15,1
1101100011,1438629720,false,5,0,39,0
